Name,RA,DEC,GL,GB,Period (s),Frequency (Hz),DM,W10 (ms),W50 (ms)
J1410-7404,14:10:07.370,-74:04:53.32,308.349,-12.043,0.2787294436271,3.58770852116,54.24,3.5,1.8
J1412-6111,14:12:59.62,-61:11:30.5,312.597,0.140232,0.529156397973,1.88980045187,311.8,22,12
J1412-6145,14:12:07.69,-61:45:28.8,312.324,-0.366471,0.315224970657,3.17233751475,514.7,18,12
J1412+7922,14:12:55.84,+79:22:03.7,118.318,37.0198,0.059198212396,16.8924019751,0,0,0
J1413-6141,14:13:09.87,-61:41:13,312.462,-0.336791,0.28562462018,3.50109874761,677,57,37
J1413-6205,14:13:29.9,-62:05:38,312.373,-0.735755,0.109740699688,9.112389504,0,0,0
J1413-6222,14:13:05.47,-62:22:27.8,312.241,-0.98757,0.292407702493,3.4198825526,808.1,0,23
J1413-6307,14:13:31.316,-63:07:35.45,312.053,-1.71767,0.394945790784,2.5319930566,121.98,9.2,4.1
J1414-6802,14:14:25.7,-68:02:58,310.59,-6.42021,4.6301880619,0.215973948926,153.5,1.8e+02,1e+02
J1415-6621,14:15:31.27,-66:21:12.2,311.234,-4.84641,0.392478973101,2.5479071964,260.17,17,8.9
J1416-5033,14:16:44.6,-50:33:17,316.504,10.0555,0.794882546,1.25804750027,58.5,0,0
J1416-6037,14:16:30.59,-60:37:59.5,313.179,0.534887,0.295580481932,3.3831733187,289.2,20,13
J1418-3921,14:18:50.283,-39:21:18.51,320.82,20.4615,1.09680600340,0.911738262646,60.49,53,25
J1418-5945,14:18:32.3,-59:45:00,313.706,1.28735,1.6725956812,0.597873120946,369,0,64
J1418-6058,14:18:42.7,-60:57:49,313.325,0.134849,0.11057301169,9.043798163,0,0,0
J1420-5416,14:20:29.1,-54:16:23,315.793,6.3601,0.9357719221,1.0686364662,129.6,42,25
J1420-5625,14:20:03.062,-56:25:55.00,315.002,4.34901,0.0341171308479,29.31078830923,64.56,12,1.3
J1420-6048,14:20:08.237,-60:48:16.43,313.541,0.22699,0.06817987659,14.6670843365,358.8,16,9.3
J1422-6138,14:22:27.07,-61:38:28,313.519,-0.654393,0.340967851643,2.932827817,0,0,0
J1423-6953,14:23:26.79,-69:53:42.82,310.736,-8.42994,0.333410710172,2.99930377007,123.98,0,3.3
J1424-5556,14:24:12.76,-55:56:13.9,315.718,4.61429,0.770374845874,1.29806938188,198.7,36,22
J1424-56,14:24:23,-56:40:47,315.478,3.9109,1.427,0.700770847933,32.9,0,7
J1424-5822,14:24:32.11,-58:22:56.0,314.897,2.31014,0.366734060217,2.72677154505,323.9,22,12
J1424-6438,14:24:59.2,-64:38:10.0,312.741,-3.56096,1.02350369913,0.977036038902,248,0,68
J1425-5723,14:25:36.56,-57:23:30.8,315.382,3.18581,0.35326292024,2.83075279829,43.4,135,7.1
J1425-5759,14:25:59.11,-57:59:10.2,315.217,2.61269,0.70786760576,1.41269354871,325,0,9.6
J1425-6210,14:25:07.7,-62:10:04.9,313.63,-1.25818,0.501730309869,1.9931026297,430.1,0,11
J1427-4158,14:27:50.770,-41:58:56.3,321.48,17.3909,0.586485556229,1.70507182893,71,23.9,19.2
J1428-5530,14:28:26.297,-55:30:50.2,316.427,4.79554,0.570290462862,1.75349241329,82.4,25,14
J1429-5911,14:29:58.6,-59:11:36.6,315.261,1.29892,0.115842610077,8.632402182,0,0,0
J1429-5935,14:29:25.90,-59:35:58.9,315.046,0.947233,0.763914830534,1.30904645391,456.7,0,14
J1430-6623,14:30:40.872,-66:23:05.04,312.653,-5.40427,0.785440757324,1.27317049781,65.3,28,18
J1431-4715,14:31:44.6177,-47:15:27.574,320.051,12.2526,0.0020119534425332,497.029393852,59.35,0,0
J1431-5740,14:31:03.4953,-57:40:11.670,315.962,2.65966,0.0041105439567658,243.276804851,131.46,0.482,0.176
J1432-5032,14:32:52.27,-50:32:17.3,318.936,9.15478,2.0349894792,0.491403031918,113,0,0
J1433-6038,14:33:13.18,-60:38:34.7,315.092,-0.19683,1.9544296353,0.51165822598,409,0,35
J1434-6006,14:34:05.3,-60:06:29.0,315.396,0.255884,0.30636786268,3.2640499276,332,0,5.5
J1434-6029,14:34:39.1,-60:29:49,315.31,-0.129758,0.963348323152,1.03804613136,282,0,19
J1434+7257,14:33:59.7370,+72:57:26.512,113.082,42.1533,0.04174114783993,23.9571753952,12.605,0,1.9
J1435-5954,14:35:00.36,-59:54:49.2,315.577,0.390741,0.472995435514,2.11418530691,44.26,33,19
J1435-6100,14:35:20.2765,-61:00:57.956,315.186,-0.64068,0.00934797221025,106.97507197376,113.7,0,1.1
J1437-5959,14:37:01.91,-59:59:01.4,315.783,0.226833,0.0616961234035,16.2084738041,549.6,0,7
J1437-6146,14:37:15.31,-61:46:02.0,315.101,-1.42154,0.46761632345,2.1385053298,200.5,0,17
J1439-5501,14:39:39.7420,-55:01:23.621,318.097,4.63002,0.0286348881905,34.922434246953,14.56,0,0
J1439+76,14:39,+76:55,115.405,38.5962,0.947903,1.05496026492,22.29,0,0
J1440-6344,14:40:31.307,-63:44:47.6,314.646,-3.38387,0.45960536385,2.17577965501,124.2,23,9.7
J1441-6137,14:41:44.3,-61:37:24,315.646,-1.50484,1.17584002290,0.85045582777,166,0,18
J1443-5122,14:43:26.97,-51:22:26,320.136,7.71746,0.7320612647,1.36600589079,87.0,0,0
J1444-5941,14:44:46.5,-59:41:19,316.791,0.0981734,2.7602279448,0.36228891961,177.1,79,47
J1444-6026,14:44:06.02,-60:26:09.4,316.4,-0.544156,4.7585755679,0.210146920172,367.7,0,21
J1446-4701,14:46:35.71391,-47:01:26.7675,322.5,11.4253,0.00219469577985,455.644016442381,55.83202,0.29,0.10
J1449-5846,14:49:25.43,-58:46:40.4,317.72,0.664386,0.463329577191,2.15829087809,216.6,27,15
J1452-5851,14:52:52.58,-58:51:13.3,318.087,0.398016,0.386625017478,2.58648549575,262.4,0,11
J1452-6036,14:52:51.898,-60:36:31.35,317.296,-1.16877,0.1549913579183,6.45197263532,349.7,18,4.2
J1453+1902,14:53:45.7175,+19:02:12.224,23.3948,60.8123,0.0057923027349664,172.64291004,14.049,1.1,0.4
J1453-6413,14:53:32.737,-64:13:15.59,315.733,-4.42743,0.1794847539641,5.57150386266,71.07,9.7,4.4
J1454-5846,14:54:10.908,-58:46:34.74,318.272,0.390649,0.045248772998,22.10004678013,115.95,4.8,2.9
J1455-3330,14:55:47.97069,-33:30:46.3833,330.722,22.5623,0.00798720479626,125.20024533089,13.5708,2.3,0.8
J1455-59,14:55:06,-59:23,318.101,-0.203422,0.1761912,5.67565235948,498.0,0,0
J1456-48,14:56,00:00:00,355.891,49.618,0.53681,1.86285650416,133.0,0,0
J1456-6843,14:56:00.158,-68:43:39.25,313.869,-8.54322,0.2633768148933,3.79684142055,8.6,29,12.5
J1457-5122,14:57:40.19,-51:22:53,322.134,6.72216,1.7483010801,0.571983859864,37,85,14
J1457-5900,14:57:39.0,-59:00:51,318.561,-0.026571,1.4986374368,0.667272800909,175,0,62
J1457-5902,14:57:31.9,-59:02:04,318.538,-0.0374295,0.39073936418,2.55925072228,477.2,0,8.4
J1459-6053,14:59:29.99,-60:53:20.7,317.886,-1.79119,0.103150638274,9.694559498,0,0,0
J1501-0046,15:01:44.9558,-00:46:23.52,356.582,48.0507,0.4640368139284,2.1550014352,22.2584,0,10
J1501-5637,15:01:51.0,-56:37:48,320.181,1.81,0.7829485661,1.27722310672,258,0,25
J1502-5653,15:02:57.389,-56:53:39.21,320.186,1.50541,0.53550439779,1.867398296125,194.0,14,7.2
J1502-5828,15:02:43.8,-58:28:42,319.395,0.132815,0.66810515091,1.49677037909,584,0,22
J1502-6128,15:02:29.84,-61:28:50.3,317.921,-2.48339,0.84210384000,1.18750200688,256.5,53,29
J1502-6752,15:02:18.615,-67:52:16.759,314.799,-8.06744,0.026744423767,37.39097199147,151.2,17,2.97
J1503+2111,15:03:54.60,+21:11:09.3,29.0624,59.2961,3.31400150122,0.301750014184,11.75,80,26
J1504-5621,15:04:49.14,-56:21:32,320.671,1.84857,0.41298519981,2.42139427868,143,0,11
J1506-5158,15:06:39.5,-51:58:10,323.076,5.53395,0.840738545,1.18943041918,61.0,35,14
J1507-4352,15:07:34.18,-43:52:03.2,327.339,12.4587,0.28675704522,3.48727264655,48.7,19,9.2
J1507-6640,15:07:48.66,-66:40:57.1,315.858,-7.29681,0.35565490117,2.81171438018,129.8,21,11
J1509+5531,15:09:25.6298,+55:31:32.394,91.3254,52.2869,0.739681922904,1.351932457770,19.6191,26.3,10.9
J1509-5850,15:09:27.13,-58:50:56.1,319.972,-0.620663,0.088921760489,11.245841226,140.6,0,4.7
J1509-6015,15:09:07.5,-60:15:18.6,319.228,-1.81458,0.33903844870,2.94951797896,423.6,0,13
J1510-4422,15:10:48.9,-44:22:07,327.586,11.7293,0.9438712975,1.0594664788,84,100,50
J1511-5414,15:11:51.308,-54:14:40.3,322.598,3.17652,0.2003836959221,4.99042596953,84.76,11,5.9
J1511-5835,15:11:07.0,-58:35:28,320.289,-0.507927,0.30151055002,3.31663353051,332,0,16
J1512-5431,15:12:05.7,-54:31:19,322.486,2.92047,2.0405315742,0.490068378575,219,0,110
J1512-5759,15:12:43.026,-57:59:59.8,320.772,-0.107789,0.128694148448,7.77036106194,628.7,16,7.8
J1513-5739,15:13:58.99,-57:39:01.4,321.097,0.104461,0.9734580348,1.02726564911,469.7,33,21
J1513-5908,15:13:55.62,-59:08:09.0,320.321,-1.16191,0.151251258315,6.611515243850,252.5,40,16
J1513-5946,15:13:44.78,-59:46:31.9,319.97,-1.6971,1.046117156733,0.955915877647,171.7,0,3.3
J1514-4834,15:14:14.56,-48:34:19.5,325.872,7.83525,0.45483920949,2.19857914431,51.5,23,12
J1514-4946,15:14:19.1141,-49:46:15.516,325.249,6.80745,0.00358933667967,278.60300920296,31.05,0,0
J1514-5925,15:14:59.10,-59:25:43.3,320.284,-1.48231,0.148796488226,6.72058871767,194.1,0,4.8
J1515-5720,15:15:09.3,-57:20:49,321.39,0.281664,0.28664619650,3.48862120694,482,0,31
J1517-4356,15:17:27.34,-43:56:17.9,328.85,11.4632,0.650836871901,1.53648332351,87.78,26,11
J1517-4636,15:17:29.376,-46:36:00.6,327.399,9.21662,0.88661249686,1.12788845583,127.0,0,0
J1518+0204A,15:18:33.3176,02:05:27.55,3.87043,46.8023,0.005553592524205,180.063624697,30.08,0,0.37
J1518+0204B,15:18:31.458,02:05:15.47,3.85951,46.8062,0.007946940657879,125.834587554,29.47,0,1.6
J1518+0204C,15:18:32.788893,+02:04:47.8153,3.85586,46.7971,0.00248392757025,402.58822840843,29.3146,0,0.15
J1518+0204D,15:18:34,+02:04:58,3.8637,46.7949,0.002988,334.672021419,29.3,0,0.54
J1518+0204E,15:18:34,+02:04:58,3.8637,46.7949,0.003182,314.267756128,29.3,0,0.25
J1518-0627,15:18:59.1104,-06:27:07.70,355.146,41.0019,0.7949966745699,1.25786689679,27.9631,0,9.5
J1518+4904,15:18:16.799084,49:04:34.25119,80.8084,54.2817,0.0409349889083,24.4289793809236,11.61139,0,1.42
J1518-5415,15:18:13.50,-54:15:45.0,323.383,2.67508,0.214924800284,4.65279017907,167.2,0,4
J1519-5734,15:19:47.59,-57:34:13.6,321.8,-0.238184,0.518757784744,1.92768191516,664,0,42
J1519-6106,15:19:35.81,-61:06:54.6,319.876,-3.21567,2.15430706064,0.46418638191,221,47,25
J1519-6308,15:19:09.56,-63:08:19.5,318.743,-4.89556,1.25405163056,0.79741533413,250,0,22
J1522-5525,15:22:06.7,-55:25:17.5,323.231,1.39713,1.3896046876,0.71962912109,79,0,10
J1522-5735,15:22:05.3,-57:35:00,322.052,-0.415241,0.10213598087,9.790868913,0,0,0
J1522-5829,15:22:42.27,-58:29:02.7,321.63,-1.21501,0.395352859901,2.52938602809,199.9,25,14
J1524-5625,15:24:49.86,-56:25:23.4,323,0.350576,0.078218548881,12.7846912824,152.7,0,12
J1524-5706,15:24:21.43,-57:06:35,322.568,-0.186345,1.11604861927,0.896018312046,833,43,22
J1524-5819,15:24:24.65,-58:19:14.1,321.907,-1.20087,0.96104262694,1.04053657139,406.6,0,13
J1525-5417,15:25:28.35,-54:17:20,324.258,2.07794,1.01169421772,0.988440956254,235,0,15
J1525-5523,15:25:36.064,-55:23:27.2,323.662,1.15065,0.3551560369998,2.8156638092,124.7,40.9,31.0
J1525-5545,15:25:28.1340,-55:45:49.842,323.439,0.850617,0.0113598817918,88.02908501431,126.934,0,0.54
J1525-5605,15:25:41.45,-56:05:13,323.286,0.564502,0.28034866206,3.56698688216,338,0,25
J1526-5633,15:26:41.2,-56:33:43,323.136,0.0929963,0.30188789663,3.31248788429,329,0,13
J1527-3931,15:27:58.93,-39:31:35,333.05,14.02,2.4175822701,0.41363638887,49,65,44
J1527-5552,15:27:40.9,-55:52:07,323.639,0.590361,1.0487048866,0.953557109133,362.7,0,17
J1528-3146,15:28:34.9542,-31:46:06.836,337.939,20.2167,0.06082223035146,16.4413569549,18.163,1.29,0.59
J1528-4109,15:28:08.033,-41:09:28.8,332.106,12.6714,0.526556139140,1.89913273375,89.50,18,9.4
J1528-5547,15:28:39.18,-55:47:23,323.796,0.578901,3.4673015170,0.2884087222,269,110,52.9
J1529-3828,15:29:15.1066,-38:28:45.85,333.886,14.728,0.00848628211574,117.8372326493,73.62,0,1.23
J1529-5355,15:29:57.6,-53:55:36,325.006,2.00856,0.8912645399,1.12200133095,292,0,56
J1529-5611,15:29:35.8,-56:11:29,323.678,0.172961,0.8222487311,1.21617700603,149,0,42
J1530-5327,15:30:26.87,-53:27:56.3,325.328,2.34667,0.278956721152,3.58478546733,49.6,0,14
J1530-63,15:30:52,-63:43:33,319.51,-6.11053,0.9103,1.09853894321,200,0,0
J1531-4012,15:31:08.05,-40:12:30.9,333.147,13.1132,0.356849312855,2.80230328034,106.65,0,11
J1531-5610,15:31:27.91,-56:10:55.0,323.897,0.0327175,0.0842016828855,11.8762471928,110.9,11,5.8
J1532+2745,15:32:10.37,27:45:49.4,43.4806,54.495,1.12483574277,0.889018691334,14.698,35.7,25.7
J1532-5308,15:32:35.5,-53:08:06,325.78,2.43421,0.44382460830,2.25314230284,181,0,26
J1532-56,15:32:18,-56:32,323.79,-0.321467,0.52297708597,1.91212966462,282,54.0,27.0
J1534-4428,15:34:52.00,-44:28:09.4,331.161,9.26137,1.2214259588,0.818715201519,137.3,0,0
J1534-46,15:34:08,-46:14,330.007,7.90988,0.364835,2.74096509381,64.4,0,0
J1534-5334,15:34:08.37,-53:34:19.3,325.716,1.9441,1.36888090921,0.730523738969,24.82,66,17
J1534-5405,15:34:33.59,-54:05:39.7,325.463,1.48293,0.289688895200,3.4519790595,190.82,21,6.1
J1535-4114,15:35:17.07,-41:14:03.1,333.175,11.8211,0.432866133845,2.31018303769,66.28,22,15
J1535-4415,15:35:55.92,-44:15:08.4,331.447,9.32365,0.46840160422,2.13492010059,110.7,0,0
J1535-5450,15:35:58.26,-54:50:26,325.194,0.757299,0.56673415672,1.76449573075,219.8,0,9.4
J1535-5848,15:35:16.76,-58:48:27.7,322.797,-2.40612,0.307177662775,3.2554450443,107.0,12,5.8
J1536-3602,15:36:17.382,-36:02:58.8,336.555,15.8406,1.31975904174,0.757714073837,96,98.0,84.6
J1536-4948,15:36,-49:48,328.157,4.83798,0.00308,324.675324675,38.0,0,0
J1536-5433,15:36:04.82,-54:33:15,325.374,0.98018,0.881438431124,1.1345091894,147.5,66,36
J1536-5907,15:36:17.72,-59:07:03.6,322.722,-2.73408,0.55784066031,1.79262658883,316,0,13
J1537+1155,15:37:09.961730,+11:55:55.43387,19.8475,48.3414,0.0379044411783,26.38213277689397,0.00031,1.5,0.31
J1537-4912,15:37:28.2,-49:12:03,328.705,5.18098,0.30131077523,3.31883252179,69.7,0,22
J1537-5153,15:37:15.73,-51:53:06,327.088,3.03539,1.52812410566,0.654397111004,93,0,23
J1537-5645,15:37:51.0,-56:45:4,324.283,-0.943093,0.430464123862,2.3230739673,707,0,67
J1538+2345,15:38:06.07,+23:45:04.0,37.3179,52.3912,3.44938495332,0.289906755417,14.909,0,0
J1538-5438,15:38:48.95,-54:38:17,325.645,0.678757,0.27672613726,3.6136810563,136.9,0,11
J1538-5519,15:38:40.83,-55:19:46,325.219,0.133848,0.39573063893,2.52697138312,611,0,86
J1538-5551,15:38:45.03,-55:51:36.9,324.912,-0.299257,0.104674920844,9.5533867323,603,0,11
J1538-5621,15:38:43.29,-56:21:55.5,324.609,-0.703428,1.90849449143,0.52397321789,150,60.6,34.1
J1538-5638,15:38:05.7,-56:38:12,324.378,-0.870692,0.84398039688,1.18486164335,546,0,46
J1538-5732,15:38:18.18,-57:32:29.3,323.865,-1.61659,0.341212811806,2.93072230995,152.7,0,0
J1538-5750,15:38:08.41,-57:50:17.1,323.672,-1.84269,0.506568335296,1.97406732779,91,145,4.7
J1539-4828,15:39:40.84,-48:28:57,329.428,5.54133,1.27284159978,0.785643712598,117,0,50.9
J1539-5521,15:39:07.97,-55:21:11.2,325.256,0.0766103,1.00495831813,0.99506614549,380,0,23
J1539-5626,15:39:13.96,-56:26:25.4,324.621,-0.805747,0.24339220040,4.10859509202,175.88,17,8.8
J1539-6322,15:39:24.70,-63:22:53.2,320.488,-6.38958,1.63084630957,0.6131785651,163.5,0,56
J1540-5736,15:40:59.02,-57:36:57,324.109,-1.89056,0.612916285693,1.63154418204,304.5,27,14
J1541-42,15:41:55,-42:18:50,333.514,10.2137,0,0,60,0,4
J1541-5535,15:41:49.6,-55:35:01,325.424,-0.336531,0.29583755345,3.38023347049,428,0,14
J1542-5034,15:42:45.471,-50:34:01.4,328.568,3.57686,0.5992450364,1.66876642985,91.0,15,7.3
J1542-5133,15:42:19.93,-51:33:35,327.913,2.82724,1.7838649877,0.56058054107,186,59,35
J1542-5303,15:42:54.51,-53:03:41,327.073,1.5784,1.20756776526,0.828110876067,265.7,72,54
J1543-0620,15:43:30.1579,-06:20:45.25,0.565789,36.608,0.709064069786,1.410309790908,18.3774,16.6,8.1
J1543+0929,15:43:38.8250,+09:29:16.339,17.8112,45.7752,0.748448416229,1.336097422770,35.012,275.2,46.2
J1543-5013,15:43:58.25,-50:13:58,328.925,3.72473,0.6442550645,1.55218027006,211,0,15
